id,PassengerId,Mortos,Sexo
0,1,0,male
4,5,0,male
5,6,0,male
6,7,0,male
7,8,0,male
12,13,0,male
13,14,0,male
14,15,0,female
16,17,0,male
18,19,0,female
20,21,0,male
24,25,0,female
26,27,0,male
27,28,0,male
29,30,0,male
30,31,0,male
33,34,0,male
34,35,0,male
35,36,0,male
37,38,0,male
38,39,0,female
40,41,0,female
41,42,0,female
42,43,0,male
45,46,0,male
46,47,0,male
48,49,0,male
49,50,0,female
50,51,0,male
51,52,0,male
54,55,0,male
57,58,0,male
59,60,0,male
60,61,0,male
62,63,0,male
63,64,0,male
64,65,0,male
67,68,0,male
69,70,0,male
70,71,0,male
71,72,0,female
72,73,0,male
73,74,0,male
75,76,0,male
76,77,0,male
77,78,0,male
80,81,0,male
83,84,0,male
86,87,0,male
87,88,0,male
89,90,0,male
90,91,0,male
91,92,0,male
92,93,0,male
93,94,0,male
94,95,0,male
95,96,0,male
96,97,0,male
99,100,0,male
100,101,0,female
101,102,0,male
102,103,0,male
103,104,0,male
104,105,0,male
105,106,0,male
108,109,0,male
110,111,0,male
111,112,0,female
112,113,0,male
113,114,0,female
114,115,0,female
115,116,0,male
116,117,0,male
117,118,0,male
118,119,0,male
119,120,0,female
120,121,0,male
121,122,0,male
122,123,0,male
124,125,0,male
126,127,0,male
129,130,0,male
130,131,0,male
131,132,0,male
132,133,0,female
134,135,0,male
135,136,0,male
137,138,0,male
138,139,0,male
139,140,0,male
140,141,0,female
143,144,0,male
144,145,0,male
145,146,0,male
147,148,0,female
148,149,0,male
149,150,0,male
150,151,0,male
152,153,0,male
153,154,0,male
154,155,0,male
155,156,0,male
157,158,0,male
158,159,0,male
159,160,0,male
160,161,0,male
162,163,0,male
163,164,0,male
164,165,0,male
167,168,0,female
168,169,0,male
169,170,0,male
170,171,0,male
171,172,0,male
173,174,0,male
174,175,0,male
175,176,0,male
176,177,0,male
177,178,0,female
178,179,0,male
179,180,0,male
180,181,0,female
181,182,0,male
182,183,0,male
185,186,0,male
188,189,0,male
189,190,0,male
191,192,0,male
196,197,0,male
197,198,0,male
199,200,0,female
200,201,0,male
201,202,0,male
202,203,0,male
203,204,0,male
205,206,0,female
206,207,0,male
210,211,0,male
212,213,0,male
213,214,0,male
214,215,0,male
217,218,0,male
219,220,0,male
221,222,0,male
222,223,0,male
223,224,0,male
225,226,0,male
227,228,0,male
228,229,0,male
229,230,0,female
231,232,0,male
232,233,0,male
234,235,0,male
235,236,0,female
236,237,0,male
238,239,0,male
239,240,0,male
240,241,0,female
242,243,0,male
243,244,0,male
244,245,0,male
245,246,0,male
246,247,0,female
249,250,0,male
250,251,0,male
251,252,0,female
252,253,0,male
253,254,0,male
254,255,0,female
260,261,0,male
262,263,0,male
263,264,0,male
264,265,0,female
265,266,0,male
266,267,0,male
270,271,0,male
273,274,0,male
276,277,0,female
277,278,0,male
278,279,0,male
280,281,0,male
281,282,0,male
282,283,0,male
284,285,0,male
285,286,0,male
287,288,0,male
292,293,0,male
293,294,0,female
294,295,0,male
295,296,0,male
296,297,0,male
297,298,0,female
302,303,0,male
304,305,0,male
308,309,0,male
312,313,0,female
313,314,0,male
314,315,0,male
317,318,0,male
320,321,0,male
321,322,0,male
324,325,0,male
326,327,0,male
331,332,0,male
332,333,0,male
333,334,0,male
335,336,0,male
336,337,0,male
339,340,0,male
342,343,0,male
343,344,0,male
344,345,0,male
349,350,0,male
350,351,0,male
351,352,0,male
352,353,0,male
